INSERT INTO memory_table (user_id, username, age)
VALUES
 ('00000', 'st0', '1'),
 ('00140', 'st140', '41'),
 ('00141', 'st141', '42'),
 ('00142', 'st142', '43'),
 ('00143', 'st143', '44'),
 ('00144', 'st144', '45'),
 ('00145', 'st145', '46'),
 ('00146', 'st146', '47'),
 ('00147', 'st147', '48'),
 ('00148', 'st148', '49'),
 ('00149', 'st149', '50'),
 ('00150', 'st150', '51'),
 ('00151', 'st151', '52'),
 ('00152', 'st152', '53'),
 ('00153', 'st153', '54'),
 ('00154', 'st154', '55'),
 ('00155', 'st155', '56'),
 ('00156', 'st156', '57'),
 ('00157', 'st157', '58'),
 ('00158', 'st158', '59'),
 ('00159', 'st159', '60'),
 ('00160', 'st160', '61'),
 ('00161', 'st161', '62'),
 ('00162', 'st162', '63'),
 ('00163', 'st163', '64'),
 ('00164', 'st164', '65'),
 ('00165', 'st165', '66'),
 ('00166', 'st166', '67'),
 ('00167', 'st167', '68'),
 ('00168', 'st168', '69'),
 ('00169', 'st169', '70'),
 ('00170', 'st170', '71'),
 ('00171', 'st171', '72'),
 ('00172', 'st172', '73'),
 ('00173', 'st173', '74'),
 ('00174', 'st174', '75'),
 ('00175', 'st175', '76'),
 ('00176', 'st176', '77'),
 ('00177', 'st177', '78'),
 ('00178', 'st178', '79'),
 ('00179', 'st179', '80'),
 ('00180', 'st180', '81'),
 ('00181', 'st181', '82'),
 ('00182', 'st182', '83'),
 ('00183', 'st183', '84'),
 ('00184', 'st184', '85'),
 ('00185', 'st185', '86'),
 ('00186', 'st186', '87'),
 ('00187', 'st187', '88'),
 ('00188', 'st188', '89'),
 ('00189', 'st189', '90'),
 ('00190', 'st190', '91'),
 ('00191', 'st191', '92'),
 ('00192', 'st192', '93'),
 ('00193', 'st193', '94'),
 ('00194', 'st194', '95'),
 ('00195', 'st195', '96'),
 ('00196', 'st196', '97'),
 ('00197', 'st197', '98'),
 ('00198', 'st198', '99'),
 ('00199', 'st199', '100'),
 ('00200', 'st200', '1'),
 ('00201', 'st201', '2'),
 ('00202', 'st202', '3'),
 ('00203', 'st203', '4'),
 ('00204', 'st204', '5'),
 ('00205', 'st205', '6'),
 ('00206', 'st206', '7'),
 ('00207', 'st207', '8'),
 ('00208', 'st208', '9'),
 ('00209', 'st209', '10'),
 ('00210', 'st210', '11'),
 ('00211', 'st211', '12'),
 ('00212', 'st212', '13'),
 ('00213', 'st213', '14'),
 ('00214', 'st214', '15'),
 ('00215', 'st215', '16'),
 ('00216', 'st216', '17'),
 ('00217', 'st217', '18'),
 ('00218', 'st218', '19'),
 ('00219', 'st219', '20'),
 ('00220', 'st220', '21'),
 ('00221', 'st221', '22'),
 ('00222', 'st222', '23'),
 ('00223', 'st223', '24'),
 ('00224', 'st224', '25'),
 ('00225', 'st225', '26'),
 ('00226', 'st226', '27'),
 ('00227', 'st227', '28'),
 ('00228', 'st228', '29'),
 ('00229', 'st229', '30'),
 ('00230', 'st230', '31'),
 ('00231', 'st231', '32'),
 ('00232', 'st232', '33'),
 ('00233', 'st233', '34'),
 ('00234', 'st234', '35'),
 ('00235', 'st235', '36'),
 ('00236', 'st236', '37'),
 ('00237', 'st237', '38'),
 ('00238', 'st238', '39'),
 ('00239', 'st239', '40'),
 ('00240', 'st240', '41'),
 ('00241', 'st241', '42'),
 ('00242', 'st242', '43'),
 ('00243', 'st243', '44'),
 ('00244', 'st244', '45'),
 ('00245', 'st245', '46'),
 ('00246', 'st246', '47'),
 ('00247', 'st247', '48'),
 ('00248', 'st248', '49'),
 ('00249', 'st249', '50'),
 ('00250', 'st250', '51'),
 ('00251', 'st251', '52'),
 ('00252', 'st252', '53'),
 ('00253', 'st253', '54'),
 ('00254', 'st254', '55'),
 ('00255', 'st255', '56'),
 ('00256', 'st256', '57'),
 ('00257', 'st257', '58'),
 ('00258', 'st258', '59'),
 ('00259', 'st259', '60'),
 ('00260', 'st260', '61'),
 ('00261', 'st261', '62'),
 ('00262', 'st262', '63'),
 ('00263', 'st263', '64'),
 ('00264', 'st264', '65'),
 ('00265', 'st265', '66'),
 ('00266', 'st266', '67'),
 ('00267', 'st267', '68'),
 ('00268', 'st268', '69'),
 ('00269', 'st269', '70'),
 ('00270', 'st270', '71'),
 ('00271', 'st271', '72'),
 ('00272', 'st272', '73'),
 ('00273', 'st273', '74'),
 ('00274', 'st274', '75'),
 ('00275', 'st275', '76'),
 ('00276', 'st276', '77'),
 ('00277', 'st277', '78'),
 ('00278', 'st278', '79'),
 ('00279', 'st279', '80'),
 ('00280', 'st280', '81'),
 ('00281', 'st281', '82'),
 ('00282', 'st282', '83'),
 ('00283', 'st283', '84'),
 ('00284', 'st284', '85'),
 ('00285', 'st285', '86'),
 ('00286', 'st286', '87'),
 ('00287', 'st287', '88'),
 ('00288', 'st288', '89'),
 ('00289', 'st289', '90'),
 ('00290', 'st290', '91'),
 ('00291', 'st291', '92'),
 ('00292', 'st292', '93'),
 ('00293', 'st293', '94'),
 ('00294', 'st294', '95'),
 ('00295', 'st295', '96'),
 ('00296', 'st296', '97'),
 ('00297', 'st297', '98'),
 ('00298', 'st298', '99'),
 ('00299', 'st299', '100'),
 ('00300', 'st300', '1'),
 ('00301', 'st301', '2'),
 ('00302', 'st302', '3'),
 ('00303', 'st303', '4'),
 ('00304', 'st304', '5'),
 ('00305', 'st305', '6'),
 ('00306', 'st306', '7'),
 ('00307', 'st307', '8'),
 ('00308', 'st308', '9'),
 ('00309', 'st309', '10'),
 ('00310', 'st310', '11'),
 ('00311', 'st311', '12'),
 ('00312', 'st312', '13'),
 ('00313', 'st313', '14'),
 ('00314', 'st314', '15'),
 ('00315', 'st315', '16'),
 ('00316', 'st316', '17'),
 ('00317', 'st317', '18'),
 ('00318', 'st318', '19'),
 ('00319', 'st319', '20'),
 ('00320', 'st320', '21'),
 ('00321', 'st321', '22'),
 ('00322', 'st322', '23'),
 ('00323', 'st323', '24'),
 ('00324', 'st324', '25'),
 ('00325', 'st325', '26'),
 ('00326', 'st326', '27'),
 ('00327', 'st327', '28'),
 ('00328', 'st328', '29'),
 ('00329', 'st329', '30'),
 ('00330', 'st330', '31'),
 ('00331', 'st331', '32'),
 ('00332', 'st332', '33'),
 ('00333', 'st333', '34'),
 ('00334', 'st334', '35'),
 ('00335', 'st335', '36'),
 ('00336', 'st336', '37'),
 ('00337', 'st337', '38'),
 ('00338', 'st338', '39'),
 ('00339', 'st339', '40'),
 ('00340', 'st340', '41'),
 ('00341', 'st341', '42'),
 ('00342', 'st342', '43'),
 ('00343', 'st343', '44'),
 ('00344', 'st344', '45'),
 ('00345', 'st345', '46'),
 ('00346', 'st346', '47'),
 ('00347', 'st347', '48'),
 ('00348', 'st348', '49'),
 ('00349', 'st349', '50'),
 ('00350', 'st350', '51'),
 ('00351', 'st351', '52'),
 ('00352', 'st352', '53'),
 ('00353', 'st353', '54'),
 ('00354', 'st354', '55'),
 ('00355', 'st355', '56'),
 ('00356', 'st356', '57'),
 ('00357', 'st357', '58'),
 ('00358', 'st358', '59'),
 ('00359', 'st359', '60'),
 ('00360', 'st360', '61'),
 ('00361', 'st361', '62'),
 ('00362', 'st362', '63'),
 ('00363', 'st363', '64'),
 ('00364', 'st364', '65'),
 ('00365', 'st365', '66'),
 ('00366', 'st366', '67'),
 ('00367', 'st367', '68'),
 ('00368', 'st368', '69'),
 ('00369', 'st369', '70'),
 ('00370', 'st370', '71'),
 ('00371', 'st371', '72'),
 ('00372', 'st372', '73'),
 ('00373', 'st373', '74'),
 ('00374', 'st374', '75'),
 ('00375', 'st375', '76'),
 ('00376', 'st376', '77'),
 ('00377', 'st377', '78'),
 ('00378', 'st378', '79'),
 ('00379', 'st379', '80'),
 ('00380', 'st380', '81'),
 ('00381', 'st381', '82'),
 ('00382', 'st382', '83'),
 ('00383', 'st383', '84'),
 ('00384', 'st384', '85'),
 ('00385', 'st385', '86'),
 ('00386', 'st386', '87'),
 ('00387', 'st387', '88'),
 ('00388', 'st388', '89'),
 ('00389', 'st389', '90'),
 ('00390', 'st390', '91'),
 ('00391', 'st391', '92'),
 ('00392', 'st392', '93'),
 ('00393', 'st393', '94'),
 ('00394', 'st394', '95'),
 ('00395', 'st395', '96'),
 ('00396', 'st396', '97'),
 ('00397', 'st397', '98'),
 ('00398', 'st398', '99'),
 ('00399', 'st399', '100'),
 ('00400', 'st400', '1'),
 ('00401', 'st401', '2'),
 ('00402', 'st402', '3'),
 ('00403', 'st403', '4'),
 ('00404', 'st404', '5'),
 ('00405', 'st405', '6'),
 ('00406', 'st406', '7'),
 ('00407', 'st407', '8'),
 ('00408', 'st408', '9'),
 ('00409', 'st409', '10'),
 ('00410', 'st410', '11'),
 ('00411', 'st411', '12'),
 ('00412', 'st412', '13'),
 ('00413', 'st413', '14'),
 ('00414', 'st414', '15'),
 ('00415', 'st415', '16'),
 ('00416', 'st416', '17'),
 ('00417', 'st417', '18'),
 ('00418', 'st418', '19'),
 ('00419', 'st419', '20'),
 ('00420', 'st420', '21'),
 ('00421', 'st421', '22'),
 ('00422', 'st422', '23'),
 ('00423', 'st423', '24'),
 ('00424', 'st424', '25'),
 ('00425', 'st425', '26'),
 ('00426', 'st426', '27'),
 ('00427', 'st427', '28'),
 ('00428', 'st428', '29'),
 ('00429', 'st429', '30'),
 ('00430', 'st430', '31'),
 ('00431', 'st431', '32'),
 ('00432', 'st432', '33'),
 ('00433', 'st433', '34'),
 ('00434', 'st434', '35'),
 ('00435', 'st435', '36'),
 ('00436', 'st436', '37'),
 ('00437', 'st437', '38'),
 ('00438', 'st438', '39'),
 ('00439', 'st439', '40'),
 ('00440', 'st440', '41'),
 ('00441', 'st441', '42'),
 ('00442', 'st442', '43'),
 ('00443', 'st443', '44'),
 ('00444', 'st444', '45'),
 ('00445', 'st445', '46'),
 ('00446', 'st446', '47'),
 ('00447', 'st447', '48'),
 ('00448', 'st448', '49'),
 ('00449', 'st449', '50'),
 ('00450', 'st450', '51'),
 ('00451', 'st451', '52'),
 ('00452', 'st452', '53'),
 ('00453', 'st453', '54'),
 ('00454', 'st454', '55'),
 ('00455', 'st455', '56'),
 ('00456', 'st456', '57'),
 ('00457', 'st457', '58'),
 ('00458', 'st458', '59'),
 ('00459', 'st459', '60'),
 ('00460', 'st460', '61'),
 ('00461', 'st461', '62'),
 ('00462', 'st462', '63'),
 ('00463', 'st463', '64'),
 ('00464', 'st464', '65'),
 ('00465', 'st465', '66'),
 ('00466', 'st466', '67'),
 ('00467', 'st467', '68'),
 ('00468', 'st468', '69'),
 ('00469', 'st469', '70'),
 ('00470', 'st470', '71'),
 ('00471', 'st471', '72'),
 ('00472', 'st472', '73'),
 ('00473', 'st473', '74'),
 ('00474', 'st474', '75'),
 ('00475', 'st475', '76'),
 ('00476', 'st476', '77'),
 ('00477', 'st477', '78'),
 ('00478', 'st478', '79'),
 ('00479', 'st479', '80'),
 ('00480', 'st480', '81'),
 ('00481', 'st481', '82'),
 ('00482', 'st482', '83'),
 ('00483', 'st483', '84'),
 ('00484', 'st484', '85'),
 ('00485', 'st485', '86'),
 ('00486', 'st486', '87'),
 ('00487', 'st487', '88'),
 ('00488', 'st488', '89'),
 ('00489', 'st489', '90'),
 ('00490', 'st490', '91'),
 ('00491', 'st491', '92'),
 ('00492', 'st492', '93'),
 ('00493', 'st493', '94'),
 ('00494', 'st494', '95'),
 ('00495', 'st495', '96'),
 ('00496', 'st496', '97'),
 ('00497', 'st497', '98'),
 ('00498', 'st498', '99'),
 ('00499', 'st499', '100'),
 ('00500', 'st500', '1'),
 ('00501', 'st501', '2'),
 ('00502', 'st502', '3'),
 ('00503', 'st503', '4'),
 ('00504', 'st504', '5'),
 ('00505', 'st505', '6'),
 ('00506', 'st506', '7'),
 ('00507', 'st507', '8'),
 ('00508', 'st508', '9'),
 ('00509', 'st509', '10'),
 ('00510', 'st510', '11'),
 ('00511', 'st511', '12'),
 ('00512', 'st512', '13'),
 ('00513', 'st513', '14'),
 ('00514', 'st514', '15'),
 ('00515', 'st515', '16'),
 ('00516', 'st516', '17'),
 ('00517', 'st517', '18'),
 ('00518', 'st518', '19'),
 ('00519', 'st519', '20'),
 ('00520', 'st520', '21'),
 ('00521', 'st521', '22'),
 ('00522', 'st522', '23'),
 ('00523', 'st523', '24'),
 ('00524', 'st524', '25'),
 ('00525', 'st525', '26'),
 ('00526', 'st526', '27'),
 ('00527', 'st527', '28'),
 ('00528', 'st528', '29'),
 ('00529', 'st529', '30'),
 ('00530', 'st530', '31'),
 ('00531', 'st531', '32'),
 ('00532', 'st532', '33'),
 ('00533', 'st533', '34'),
 ('00534', 'st534', '35'),
 ('00535', 'st535', '36'),
 ('00536', 'st536', '37'),
 ('00537', 'st537', '38'),
 ('00538', 'st538', '39'),
 ('00539', 'st539', '40'),
 ('00540', 'st540', '41'),
 ('00541', 'st541', '42'),
 ('00542', 'st542', '43'),
 ('00543', 'st543', '44'),
 ('00544', 'st544', '45'),
 ('00545', 'st545', '46'),
 ('00546', 'st546', '47'),
 ('00547', 'st547', '48'),
 ('00548', 'st548', '49'),
 ('00549', 'st549', '50'),
 ('00550', 'st550', '51'),
 ('00551', 'st551', '52'),
 ('00552', 'st552', '53'),
 ('00553', 'st553', '54'),
 ('00554', 'st554', '55'),
 ('00555', 'st555', '56'),
 ('00556', 'st556', '57'),
 ('00557', 'st557', '58'),
 ('00558', 'st558', '59'),
 ('00559', 'st559', '60'),
 ('00560', 'st560', '61'),
 ('00561', 'st561', '62'),
 ('00562', 'st562', '63'),
 ('00563', 'st563', '64'),
 ('00564', 'st564', '65'),
 ('00565', 'st565', '66'),
 ('00566', 'st566', '67'),
 ('00567', 'st567', '68'),
 ('00568', 'st568', '69'),
 ('00569', 'st569', '70'),
 ('00570', 'st570', '71'),
 ('00571', 'st571', '72'),
 ('00572', 'st572', '73'),
 ('00573', 'st573', '74'),
 ('00574', 'st574', '75'),
 ('00575', 'st575', '76'),
 ('00576', 'st576', '77'),
 ('00577', 'st577', '78'),
 ('00578', 'st578', '79'),
 ('00579', 'st579', '80'),
 ('00580', 'st580', '81'),
 ('00581', 'st581', '82'),
 ('00582', 'st582', '83'),
 ('00583', 'st583', '84'),
 ('00584', 'st584', '85'),
 ('00585', 'st585', '86'),
 ('00586', 'st586', '87'),
 ('00587', 'st587', '88'),
 ('00588', 'st588', '89'),
 ('00589', 'st589', '90'),
 ('00590', 'st590', '91'),
 ('00591', 'st591', '92'),
 ('00592', 'st592', '93'),
 ('00593', 'st593', '94'),
 ('00594', 'st594', '95'),
 ('00595', 'st595', '96'),
 ('00596', 'st596', '97'),
 ('00597', 'st597', '98'),
 ('00598', 'st598', '99'),
 ('00599', 'st599', '100'),
 ('00600', 'st600', '1'),
 ('00601', 'st601', '2'),
 ('00602', 'st602', '3'),
 ('00603', 'st603', '4'),
 ('00604', 'st604', '5'),
 ('00605', 'st605', '6'),
 ('00606', 'st606', '7'),
 ('00607', 'st607', '8'),
 ('00608', 'st608', '9'),
 ('00609', 'st609', '10'),
 ('00610', 'st610', '11'),
 ('00611', 'st611', '12'),
 ('00612', 'st612', '13'),
 ('00613', 'st613', '14'),
 ('00614', 'st614', '15'),
 ('00615', 'st615', '16'),
 ('00616', 'st616', '17'),
 ('00617', 'st617', '18'),
 ('00618', 'st618', '19'),
 ('00619', 'st619', '20'),
 ('00620', 'st620', '21'),
 ('00621', 'st621', '22'),
 ('00622', 'st622', '23'),
 ('00623', 'st623', '24'),
 ('00624', 'st624', '25'),
 ('00625', 'st625', '26'),
 ('00626', 'st626', '27'),
 ('00627', 'st627', '28'),
 ('00628', 'st628', '29'),
 ('00629', 'st629', '30'),
 ('00630', 'st630', '31'),
 ('00631', 'st631', '32'),
 ('00632', 'st632', '33'),
 ('00633', 'st633', '34'),
 ('00634', 'st634', '35'),
 ('00635', 'st635', '36'),
 ('00636', 'st636', '37'),
 ('00637', 'st637', '38'),
 ('00638', 'st638', '39'),
 ('00639', 'st639', '40'),
 ('00640', 'st640', '41'),
 ('00641', 'st641', '42'),
 ('00642', 'st642', '43'),
 ('00643', 'st643', '44'),
 ('00644', 'st644', '45'),
 ('00645', 'st645', '46'),
 ('00646', 'st646', '47'),
 ('00647', 'st647', '48'),
 ('00648', 'st648', '49'),
 ('00649', 'st649', '50'),
 ('00650', 'st650', '51'),
 ('00651', 'st651', '52'),
 ('00652', 'st652', '53'),
 ('00653', 'st653', '54'),
 ('00654', 'st654', '55'),
 ('00655', 'st655', '56'),
 ('00656', 'st656', '57'),
 ('00657', 'st657', '58'),
 ('00658', 'st658', '59'),
 ('00659', 'st659', '60'),
 ('00660', 'st660', '61'),
 ('00661', 'st661', '62'),
 ('00662', 'st662', '63'),
 ('00663', 'st663', '64'),
 ('00664', 'st664', '65'),
 ('00665', 'st665', '66'),
 ('00666', 'st666', '67'),
 ('00667', 'st667', '68'),
 ('00668', 'st668', '69'),
 ('00669', 'st669', '70'),
 ('00670', 'st670', '71'),
 ('00671', 'st671', '72'),
 ('00672', 'st672', '73'),
 ('00673', 'st673', '74'),
 ('00674', 'st674', '75'),
 ('00675', 'st675', '76'),
 ('00676', 'st676', '77'),
 ('00677', 'st677', '78'),
 ('00678', 'st678', '79'),
 ('00679', 'st679', '80'),
 ('00680', 'st680', '81'),
 ('00681', 'st681', '82'),
 ('00682', 'st682', '83'),
 ('00683', 'st683', '84'),
 ('00684', 'st684', '85'),
 ('00685', 'st685', '86'),
 ('00686', 'st686', '87'),
 ('00687', 'st687', '88'),
 ('00688', 'st688', '89'),
 ('00689', 'st689', '90'),
 ('00690', 'st690', '91'),
 ('00691', 'st691', '92'),
 ('00692', 'st692', '93'),
 ('00693', 'st693', '94'),
 ('00694', 'st694', '95'),
 ('00695', 'st695', '96'),
 ('00696', 'st696', '97'),
 ('00697', 'st697', '98'),
 ('00698', 'st698', '99'),
 ('00699', 'st699', '100'),
 ('00700', 'st700', '1'),
 ('00701', 'st701', '2'),
 ('00702', 'st702', '3'),
 ('00703', 'st703', '4'),
 ('00704', 'st704', '5'),
 ('00705', 'st705', '6'),
 ('00706', 'st706', '7'),
 ('00707', 'st707', '8'),
 ('00708', 'st708', '9'),
 ('00709', 'st709', '10'),
 ('00710', 'st710', '11'),
 ('00711', 'st711', '12'),
 ('00712', 'st712', '13'),
 ('00713', 'st713', '14'),
 ('00714', 'st714', '15'),
 ('00715', 'st715', '16'),
 ('00716', 'st716', '17'),
 ('00717', 'st717', '18'),
 ('00718', 'st718', '19'),
 ('00719', 'st719', '20'),
 ('00720', 'st720', '21'),
 ('00721', 'st721', '22'),
 ('00722', 'st722', '23'),
 ('00723', 'st723', '24'),
 ('00724', 'st724', '25'),
 ('00725', 'st725', '26'),
 ('00726', 'st726', '27'),
 ('00727', 'st727', '28'),
 ('00728', 'st728', '29'),
 ('00729', 'st729', '30'),
 ('00730', 'st730', '31'),
 ('00731', 'st731', '32'),
 ('00732', 'st732', '33'),
 ('00733', 'st733', '34'),
 ('00734', 'st734', '35'),
 ('00735', 'st735', '36'),
 ('00736', 'st736', '37'),
 ('00737', 'st737', '38'),
 ('00738', 'st738', '39'),
 ('00739', 'st739', '40'),
 ('00740', 'st740', '41'),
 ('00741', 'st741', '42'),
 ('00742', 'st742', '43'),
 ('00743', 'st743', '44'),
 ('00744', 'st744', '45'),
 ('00745', 'st745', '46'),
 ('00746', 'st746', '47'),
 ('00747', 'st747', '48'),
 ('00748', 'st748', '49'),
 ('00749', 'st749', '50'),
 ('00750', 'st750', '51'),
 ('00751', 'st751', '52'),
 ('00752', 'st752', '53'),
 ('00753', 'st753', '54'),
 ('00754', 'st754', '55'),
 ('00755', 'st755', '56'),
 ('00756', 'st756', '57'),
 ('00757', 'st757', '58'),
 ('00758', 'st758', '59'),
 ('00759', 'st759', '60'),
 ('00760', 'st760', '61'),
 ('00761', 'st761', '62'),
 ('00762', 'st762', '63'),
 ('00763', 'st763', '64'),
 ('00764', 'st764', '65'),
 ('00765', 'st765', '66'),
 ('00766', 'st766', '67'),
 ('00767', 'st767', '68'),
 ('00768', 'st768', '69'),
 ('00769', 'st769', '70'),
 ('00770', 'st770', '71'),
 ('00771', 'st771', '72'),
 ('00772', 'st772', '73'),
 ('00773', 'st773', '74'),
 ('00774', 'st774', '75'),
 ('00775', 'st775', '76'),
 ('00776', 'st776', '77'),
 ('00777', 'st777', '78'),
 ('00778', 'st778', '79'),
 ('00779', 'st779', '80'),
 ('00780', 'st780', '81'),
 ('00781', 'st781', '82'),
 ('00782', 'st782', '83'),
 ('00783', 'st783', '84'),
 ('00784', 'st784', '85'),
 ('00785', 'st785', '86'),
 ('00786', 'st786', '87'),
 ('00787', 'st787', '88'),
 ('00788', 'st788', '89'),
 ('00789', 'st789', '90'),
 ('00790', 'st790', '91'),
 ('00791', 'st791', '92'),
 ('00792', 'st792', '93'),
 ('00793', 'st793', '94'),
 ('00794', 'st794', '95'),
 ('00795', 'st795', '96'),
 ('00796', 'st796', '97'),
 ('00797', 'st797', '98'),
 ('00798', 'st798', '99'),
 ('00799', 'st799', '100'),
 ('00800', 'st800', '1'),
 ('00801', 'st801', '2'),
 ('00802', 'st802', '3'),
 ('00803', 'st803', '4'),
 ('00804', 'st804', '5'),
 ('00805', 'st805', '6'),
 ('00806', 'st806', '7'),
 ('00807', 'st807', '8'),
 ('00808', 'st808', '9'),
 ('00809', 'st809', '10'),
 ('00810', 'st810', '11'),
 ('00811', 'st811', '12'),
 ('00812', 'st812', '13'),
 ('00813', 'st813', '14'),
 ('00814', 'st814', '15'),
 ('00815', 'st815', '16'),
 ('00816', 'st816', '17'),
 ('00817', 'st817', '18'),
 ('00818', 'st818', '19'),
 ('00819', 'st819', '20'),
 ('00820', 'st820', '21'),
 ('00821', 'st821', '22'),
 ('00822', 'st822', '23'),
 ('00823', 'st823', '24'),
 ('00824', 'st824', '25'),
 ('00825', 'st825', '26'),
 ('00826', 'st826', '27'),
 ('00827', 'st827', '28'),
 ('00828', 'st828', '29'),
 ('00829', 'st829', '30'),
 ('00830', 'st830', '31'),
 ('00831', 'st831', '32'),
 ('00832', 'st832', '33'),
 ('00833', 'st833', '34'),
 ('00834', 'st834', '35'),
 ('00835', 'st835', '36'),
 ('00836', 'st836', '37'),
 ('00837', 'st837', '38'),
 ('00838', 'st838', '39'),
 ('00839', 'st839', '40'),
 ('00840', 'st840', '41'),
 ('00841', 'st841', '42'),
 ('00842', 'st842', '43'),
 ('00843', 'st843', '44'),
 ('00844', 'st844', '45'),
 ('00845', 'st845', '46'),
 ('00846', 'st846', '47'),
 ('00847', 'st847', '48'),
 ('00848', 'st848', '49'),
 ('00849', 'st849', '50'),
 ('00850', 'st850', '51'),
 ('00851', 'st851', '52'),
 ('00852', 'st852', '53'),
 ('00853', 'st853', '54'),
 ('00854', 'st854', '55'),
 ('00855', 'st855', '56'),
 ('00856', 'st856', '57'),
 ('00857', 'st857', '58'),
 ('00858', 'st858', '59'),
 ('00859', 'st859', '60'),
 ('00860', 'st860', '61'),
 ('00861', 'st861', '62'),
 ('00862', 'st862', '63'),
 ('00863', 'st863', '64'),
 ('00864', 'st864', '65'),
 ('00865', 'st865', '66'),
 ('00866', 'st866', '67'),
 ('00867', 'st867', '68'),
 ('00868', 'st868', '69'),
 ('00869', 'st869', '70'),
